"ID","invoiceno","stockcode","description","quantity","invoicedate","unitprice","customerid","country"
"1",,,,,,,,
"2",,,,,,,,
"3",,,,,,,,
"4",,,,,,,,
"5",,,,,,,,
"6",,,,,,,,
"7",,,,,,,,
"8",,,,,,,,
"9",,,,,,,,
"10",,,,,,,,
"11",,,,,,,,
"12",,,,,,,,
"13","536365","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-01T00:26:00.000Z",2.55,"17850","United Kingdom"
"14","536365","71053","WHITE METAL LANTERN","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"15","536365","84406B","CREAM CUPID HEARTS COAT HANGER","8","2010-12-01T00:26:00.000Z",2.75,"17850","United Kingdom"
"16","536365","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"17","536365","84029E","RED WOOLLY HOTTIE WHITE HEART.","6","2010-12-01T00:26:00.000Z",3.39,"17850","United Kingdom"
"18","536365","22752","SET 7 BABUSHKA NESTING BOXES","2","2010-12-01T00:26:00.000Z",7.65,"17850","United Kingdom"
"19","536365","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2010-12-01T00:26:00.000Z",4.25,"17850","United Kingdom"
"20","536366","22633","HAND WARMER UNION JACK","6","2010-12-01T00:28:00.000Z",1.85,"17850","United Kingdom"
"21","536366","22632","HAND WARMER RED POLKA DOT","6","2010-12-01T00:28:00.000Z",1.85,"17850","United Kingdom"
"22","536367","84879","ASSORTED COLOUR BIRD ORNAMENT","32","2010-12-01T00:34:00.000Z",1.69,"13047","United Kingdom"
"23","536367","22745","POPPY'S PLAYHOUSE BEDROOM ","6","2010-12-01T00:34:00.000Z",2.1,"13047","United Kingdom"
"24","536367","22748","POPPY'S PLAYHOUSE KITCHEN","6","2010-12-01T00:34:00.000Z",2.1,"13047","United Kingdom"
"25","536367","22749","FELTCRAFT PRINCESS CHARLOTTE DOLL","8","2010-12-01T00:34:00.000Z",3.75,"13047","United Kingdom"
"26","536367","22310","IVORY KNITTED MUG COSY ","6","2010-12-01T00:34:00.000Z",1.65,"13047","United Kingdom"
"27","536367","84969","BOX OF 6 ASSORTED COLOUR TEASPOONS","6","2010-12-01T00:34:00.000Z",4.25,"13047","United Kingdom"
"28","536367","22623","BOX OF VINTAGE JIGSAW BLOCKS ","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"29","536367","22622","BOX OF VINTAGE ALPHABET BLOCKS","2","2010-12-01T00:34:00.000Z",9.95,"13047","United Kingdom"
"30","536367","21754","HOME BUILDING BLOCK WORD","3","2010-12-01T00:34:00.000Z",5.95,"13047","United Kingdom"
"31","536367","21755","LOVE BUILDING BLOCK WORD","3","2010-12-01T00:34:00.000Z",5.95,"13047","United Kingdom"
"32","536367","21777","RECIPE BOX WITH METAL HEART","4","2010-12-01T00:34:00.000Z",7.95,"13047","United Kingdom"
"33","536367","48187","DOORMAT NEW ENGLAND","4","2010-12-01T00:34:00.000Z",7.95,"13047","United Kingdom"
"34","536368","22960","JAM MAKING SET WITH JARS","6","2010-12-01T00:34:00.000Z",4.25,"13047","United Kingdom"
"35","536368","22913","RED COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"36","536368","22912","YELLOW COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
"37","536368","22914","BLUE COAT RACK PARIS FASHION","3","2010-12-01T00:34:00.000Z",4.95,"13047","United Kingdom"
